		"average"	"relative"								
	"all-average"	11,609									
	"p2-300-debian-etch"	2,053	17.7%								
	"p3-1000-debian-etch"	7,574	65.2%								
	"ath-2000-debian-etch"	11,591	99.8%								
	"cel-2660-debian-etch"	16,645	143.4%								
	"p4-3200-debian-etch"	20,179	173.8%								
											
		"average"	"cast5"	"cast6"	"3des"	"blowfish"	"rijndael"	"xtea"	"twofish"	"serpent"	"total"
"hide"	"all-average"	11,609	15,525	7,356	3,281	20,369	15,348	9,869	13,607	6,732	
	"relative to average"		133.7%	63.4%	28.3%	175.5%	132.2%	85.0%	117.2%	58.0%	
"hide"	"p2-300-debian-etch"	2,053	2,714	1,332	605	3,459	2,705	1,584	2,596	1,336	
"hide"	"expected"	17.7%	2,746	1,301	580	3,603	2,715	1,746	2,407	1,191	
	"difference"		-32	30	24	-144	-10	-162	189	145	41
"hide"	"p3-1000-debian-etch"	7,574	9,597	5,617	1,988	12,335	9,647	5,921	10,558	5,326	
"hide"	"expected"	65.2%	10,130	4,800	2,141	13,291	10,014	6,439	8,878	4,392	
	"difference"		-532	817	-153	-955	-367	-518	1,680	933	905
"hide"	"ath-2000-debian-etch"	11,591	15,162	7,015	3,404	20,625	14,602	9,387	13,534	8,715	
"hide"	"expected"	99.8%	15,501	7,345	3,276	20,338	15,324	9,854	13,586	6,721	
	"difference"		-340	-330	128	287	-723	-467	-52	1,994	497
"hide"	"cel-2660-debian-etch"	16,645	22,688	10,292	4,813	29,502	22,529	14,659	18,718	8,255	
"hide"	"expected"	143.4%	22,260	10,548	4,704	29,207	22,007	14,151	19,510	9,652	
	"difference"		428	-256	108	295	523	508	-792	-1,397	-583
"hide"	"p4-3200-debian-etch"	20,179	27,463	12,526	5,595	35,925	27,256	17,795	22,626	10,026	
"hide"	"expected"	173.8%	26,986	12,787	5,703	35,407	26,679	17,155	23,652	11,702	
"lineb"	"difference"		476	-261	-108	517	577	639	-1,026	-1,676	-860
"hide"	"min"		-532	-330	-153	-955	-723	-518	-1,026	-1,676	
"hide"	"max"		476	817	128	517	577	639	1,680	1,994	
	"normalized min"		-398	-521	-541	-544	-547	-610	-875	-2,890	
"hide"	"range"		1,009	1,148	281	1,473	1,300	1,158	2,706	3,670	
	"normalized range"		754	1,811	993	839	984	1,362	2,309	6,329	
											
	"p2-300-debian-etch"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"
	"3des"	582	311	638	601	1,132	407		562		605
	"anubis"								2,638		2,638
	"blowfish"	1,451	3,155	3,276	3,398	4,245	2,570	4,679	4,901		3,459
	"cast5"	2,064	3,102	2,785	901	3,316	2,582		4,246		2,714
	"cast6"		2,077	1,304	614						1,332
	"gost"		1,450	1,583	811						1,281
	"khazad"								2,289		2,289
	"loki97"		719								719
	"noekeon"								2,955		2,955
	"rijndael"	1,939	1,298	2,131	1,787	4,409	2,754	2,614	3,785	3,626	2,705
	"saferplus"		473						91		282
	"serpent"	1,015	1,366	1,323	487		1,227			2,599	1,336
	"skipjack"								1,028		1,028
	"twofish"	2,239	3,326	2,656	681		2,797		3,879		2,596
"lineb"	"xtea"		969	2,155	959				2,251		1,584
	"average"	1,548	1,659	1,983	1,137	3,276	2,056	3,646	2,602	3,113	2,053
											
	"p3-1000-debian-etch"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"
	"3des"	1,908	1,148	2,202	1,558	3,794	1,314		1,992		1,988
	"anubis"								9,159		9,159
	"blowfish"	4,772	13,041	11,185	11,131	17,338	8,739	15,919	16,558		12,335
	"cast5"	6,893	8,139	9,342	8,847	11,036	8,733		14,192		9,597
	"cast6"		6,006	4,462	6,383						5,617
	"gost"		5,910	5,206	4,260						5,126
	"khazad"								8,385		8,385
	"loki97"		3,745								3,745
	"noekeon"								10,022		10,022
	"rijndael"	6,704	5,669	7,752	7,790	14,682	9,253	8,850	13,191	12,932	9,647
	"saferplus"		1,569						1,485		1,527
	"serpent"	3,493	5,676	4,432	5,602		4,021			8,729	5,326
	"skipjack"								2,284		2,284
	"twofish"	7,543	12,601	9,006	11,716		9,465		13,020		10,558
"lineb"	"xtea"		5,779	7,285	3,228				7,392		5,921
	"average"	5,219	6,299	6,764	6,724	11,712	6,921	12,385	8,880	10,831	7,574
											
	"ath-2000-debian-etch"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"
	"3des"	2,660	1,458	2,899	3,833	7,150	2,061		3,763		3,404
	"anubis"								13,399		13,399
	"blowfish"	7,849	16,427	15,146	21,396	26,929	16,280	29,230	31,744		20,625
	"cast5"	10,436	19,455	13,758	5,706	17,066	13,738		25,972		15,162
	"cast6"		10,906	6,251	3,888						7,015
	"gost"		7,364	7,284	5,742						6,797
	"khazad"								11,230		11,230
	"loki97"		3,470								3,470
	"noekeon"								19,545		19,545
	"rijndael"	8,659	4,258	10,102	9,635	25,972	19,404	13,041	21,315	19,030	14,602
	"saferplus"		2,273						1,875		2,074
	"serpent"	6,479	8,702	8,692	3,152		7,868			17,400	8,715
	"skipjack"								4,818		4,818
	"twofish"	12,590	16,329	14,686	3,808		14,130		19,661		13,534
"lineb"	"xtea"		6,460	12,431	5,934				12,722		9,387
	"average"	8,112	8,827	10,139	7,010	19,279	12,247	21,135	15,095	18,215	11,591
											
	"cel-2660-debian-etch"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"
	"3des"	3,012	2,434	5,543	6,019	9,994	2,116		4,570		4,813
	"anubis"								22,782		22,782
	"blowfish"	5,376	23,742	27,060	34,712	36,864	25,174	40,599	42,487		29,502
	"cast5"	15,982	26,872	23,481	6,793	27,765	23,575		34,347		22,688
	"cast6"		16,587	9,797	4,492						10,292
	"gost"		12,092	13,254	7,546						10,964
	"khazad"								13,353		13,353
	"loki97"		5,755								5,755
	"noekeon"								27,575		27,575
	"rijndael"	11,689	8,859	17,196	16,165	37,044	28,595	19,715	33,607	29,896	22,529
	"saferplus"		3,759						2,840		3,299
	"serpent"	4,348	5,880	6,143	3,658		5,474			24,028	8,255
	"skipjack"								7,119		7,119
	"twofish"	14,337	24,547	18,076	4,717		19,723		30,906		18,718
"lineb"	"xtea"		8,801	18,610	9,079				22,147		14,659
	"average"	9,124	12,666	15,462	10,353	27,917	17,443	30,157	21,976	26,962	16,645
											
	"p4-3200-debian-etch"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"
	"3des"	3,660	2,990	6,425	6,128	11,805	2,559		5,597		5,595
	"anubis"								27,830		27,830
	"blowfish"	6,381	28,317	32,452	42,647	45,298	30,945	49,558	51,800		35,925
	"cast5"	19,020	32,804	28,363	8,262	33,483	28,596		41,712		27,463
	"cast6"		19,411	12,710	5,457						12,526
	"gost"		14,652	17,151	9,215						13,672
	"khazad"								16,218		16,218
	"loki97"		6,799								6,799
	"noekeon"								33,443		33,443
	"rijndael"	13,866	10,742	20,945	19,678	44,671	34,795	23,517	40,937	36,155	27,256
	"saferplus"		4,563						3,448		4,006
	"serpent"	5,278	7,176	7,553	4,439		6,601			29,106	10,026
	"skipjack"								8,647		8,647
	"twofish"	17,188	27,449	21,833	5,843		24,450		38,995		22,626
"lineb"	"xtea"		10,633	22,649	11,037				26,859		17,795
	"average"	10,899	15,049	18,898	12,523	33,814	21,324	36,537	26,862	32,630	20,179
											
	"all-average"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"
	"3des"	2,364	1,668	3,542	3,628	6,775	1,691		3,297		3,281
	"anubis"								15,162		15,162
	"blowfish"	5,166	16,936	17,824	22,657	26,135	16,742	27,997	29,498		20,369
	"cast5"	10,879	18,074	15,546	6,101	18,533	15,445		24,094		15,525
	"cast6"		10,997	6,905	4,167						7,356
	"gost"		8,294	8,896	5,515						7,568
	"khazad"								10,295		10,295
	"loki97"		4,098								4,098
	"noekeon"								18,708		18,708
	"rijndael"	8,571	6,165	11,625	11,011	25,356	18,960	13,547	22,567	20,328	15,348
	"saferplus"		2,527						1,948		2,237
	"serpent"	4,123	5,760	5,629	3,468		5,038			16,372	6,732
	"skipjack"								4,779		4,779
	"twofish"	10,779	16,850	13,251	5,353		14,113		21,292		13,607
"lineb"	"xtea"		6,528	12,626	6,047				14,274		9,869
	"average"	6,980	8,900	10,649	7,550	19,200	11,998	20,772	15,083	18,350	11,609
