	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"averageall"	"sum"
"p4-3200-gentoo"	11,449	18,155	24,157	23,890	35,263	24,011	38,125	26,310	32,494	23,610	1,416,590
	"(5,015 - 22,283)"	"(3,834 - 44,355)"	"(6,698 - 40,781)"	"(6,744 - 50,448)"	"(12,070 - 47,299)"	"(4,940 - 35,514)"	"(23,588 - 52,662)"	"(3,463 - 49,685)"	"(29,171 - 35,817)"		
	5,015	3,834	6,698	6,744	12,070	4,940	23,588	3,463	29,171		
	22,283	44,355	40,781	50,448	47,299	35,514	52,662	49,685	35,817		
"p4-3200-ubuntu-hardy"	12,192	18,175	20,412	24,390	33,743	19,161	36,411	28,477	32,077	22,941	1,376,459
	"(6,490 - 19,975)"	"(3,468 - 40,554)"	"(6,007 - 39,000)"	"(3,304 - 41,518)"	"(11,707 - 45,198)"	"(2,438 - 30,706)"	"(23,285 - 49,538)"	"(3,570 - 52,340)"	"(26,935 - 37,219)"		
	6,490	3,468	6,007	3,304	11,707	2,438	23,285	3,570	26,935		
	19,975	40,554	39,000	41,518	45,198	30,706	49,538	52,340	37,219		
"p4-3200-debian-lenny"	12,384	15,044	20,480	24,459	33,179	21,071	25,094	28,290	31,819	22,140	1,328,402
	"(6,564 - 20,171)"	"(3,017 - 32,796)"	"(5,920 - 38,985)"	"(3,345 - 41,500)"	"(11,972 - 45,110)"	"(2,393 - 34,414)"	"(23,591 - 26,597)"	"(3,523 - 52,293)"	"(27,296 - 36,341)"		
	6,564	3,017	5,920	3,345	11,972	2,393	23,591	3,523	27,296		
	20,171	32,796	38,985	41,500	45,110	34,414	26,597	52,293	36,341		
"p4-3200-ubuntu-gutsy"	11,261	18,176	19,759	18,051	33,844	20,928	36,354	26,544	31,904	21,620	1,297,226
	"(3,804 - 21,024)"	"(3,461 - 40,597)"	"(6,296 - 37,651)"	"(4,336 - 31,028)"	"(11,878 - 45,176)"	"(2,434 - 34,379)"	"(23,293 - 49,416)"	"(3,036 - 51,821)"	"(28,183 - 35,626)"		
	3,804	3,461	6,296	4,336	11,878	2,434	23,293	3,036	28,183		
	21,024	40,597	37,651	31,028	45,176	34,379	49,416	51,821	35,626		
"p4-3200-fedora8"	11,140	17,069	23,755	19,249	32,225	25,121	32,960	21,229	29,038	21,313	1,278,781
	"(2,246 - 20,412)"	"(3,337 - 41,066)"	"(7,311 - 35,071)"	"(7,241 - 34,668)"	"(11,974 - 45,253)"	"(3,868 - 43,517)"	"(20,742 - 45,177)"	"(3,051 - 47,499)"	"(24,503 - 33,573)"		
	2,246	3,337	7,311	7,241	11,974	3,868	20,742	3,051	24,503		
	20,412	41,066	35,071	34,668	45,253	43,517	45,177	47,499	33,573		
"p4-3200-debian-etch"	10,899	15,049	18,898	12,523	33,814	21,324	36,537	26,862	32,630	20,179	1,210,740
	"(3,660 - 19,020)"	"(2,990 - 32,804)"	"(6,425 - 32,452)"	"(4,439 - 42,647)"	"(11,805 - 45,298)"	"(2,559 - 34,795)"	"(23,517 - 49,558)"	"(3,448 - 51,800)"	"(29,106 - 36,155)"		
	3,660	2,990	6,425	4,439	11,805	2,559	23,517	3,448	29,106		
	19,020	32,804	32,452	42,647	45,298	34,795	49,558	51,800	36,155		
											
											
"p4-3200-gentoo"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"	
"3des"	5,015	3,834	6,698	6,744	12,070	4,940		5,644		6,421	
"anubis"								27,898		27,898	
"blowfish"	5,922	44,355	40,781	50,448	47,299	32,170	52,662	49,685		40,415	
"cast5"	15,103	33,618	36,062	32,018	37,528	35,514		41,494		33,048	
"cast6"		18,816	13,349	18,824						16,996	
"gost"		14,885	17,912	18,736						17,178	
"khazad"								17,221		17,221	
"loki97"		9,637								9,637	
"noekeon"								31,621		31,621	
"rijndael"	13,459	10,145	21,807	27,155	44,153	34,625	23,588	40,245	35,817	27,888	
"saferplus"		4,888						3,463		4,175	
"serpent"	6,910	14,962	30,775	12,266		10,914			29,171	17,059	
"skipjack"								8,683		8,683	
"twofish"	22,283	23,352	26,189	28,224		25,903		36,545		27,082	
"xtea"		21,218	23,844	20,595				26,910		23,142	
"average"	11,449	18,155	24,157	23,890	35,263	24,011	38,125	26,310	32,494		
"min"	5,015	3,834	6,698	6,744	12,070	4,940	23,588	3,463	29,171		
"max"	22,283	44,355	40,781	50,448	47,299	35,514	52,662	49,685	35,817		
											
"p4-3200-debian-etch"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"	
"3des"	3,660	2,990	6,425	6,128	11,805	2,559		5,597		5,595	
"anubis"								27,830		27,830	
"blowfish"	6,381	28,317	32,452	42,647	45,298	30,945	49,558	51,800		35,925	
"cast5"	19,020	32,804	28,363	8,262	33,483	28,596		41,712		27,463	
"cast6"		19,411	12,710	5,457						12,526	
"gost"		14,652	17,151	9,215						13,672	
"khazad"								16,218		16,218	
"loki97"		6,799								6,799	
"noekeon"								33,443		33,443	
"rijndael"	13,866	10,742	20,945	19,678	44,671	34,795	23,517	40,937	36,155	27,256	
"saferplus"		4,563						3,448		4,006	
"serpent"	5,278	7,176	7,553	4,439		6,601			29,106	10,658	
"skipjack"								8,647		8,647	
"twofish"	17,188	27,449	21,833	5,843		24,450		38,995		22,626	
"xtea"		10,633	22,649	11,037				26,859		17,795	
"average"	10,899	15,049	18,898	12,523	33,814	21,324	36,537	26,862	32,630		
"min"	3,660	2,990	6,425	4,439	11,805	2,559	23,517	3,448	29,106		
"max"	19,020	32,804	32,452	42,647	45,298	34,795	49,558	51,800	36,155		
											
"p4-3200-debian-lenny"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"	
"3des"	7,397	3,017	5,920	3,345	11,972	2,393		7,463		5,930	
"anubis"								33,347		33,347	
"blowfish"	7,076	28,528	38,985	41,500	45,110	31,132	26,597	52,293		33,903	
"cast5"	20,171	32,796	27,593	34,194	33,020	28,300		42,350		31,203	
"cast6"		19,330	12,548	25,920						19,266	
"gost"		14,619	18,593	24,516						19,243	
"khazad"								9,641		9,641	
"loki97"		6,803								6,803	
"noekeon"								36,125		36,125	
"rijndael"	14,615	10,764	24,204	25,717	42,616	34,414	23,591	42,051	36,341	28,257	
"saferplus"		4,565						3,523		4,044	
"serpent"	6,564	7,166	11,662	18,296		6,311			27,296	13,122	
"skipjack"								10,137		10,137	
"twofish"	18,483	27,281	21,678	28,673		23,873		47,517		27,918	
"xtea"		10,617	23,135	17,969				26,747		19,617	
"average"	12,384	15,044	20,480	24,459	33,179	21,071	25,094	28,290	31,819		
"min"	6,564	3,017	5,920	3,345	11,972	2,393	23,591	3,523	27,296		
"max"	20,171	32,796	38,985	41,500	45,110	34,414	26,597	52,293	36,341		
											
"p4-3200-ubuntu-gutsy"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"	
"3des"	3,804	3,461	6,296	4,336	11,878	2,434		5,700		5,416	
"anubis"								28,005		28,005	
"blowfish"	6,593	40,597	37,651	31,028	45,176	30,707	49,416	51,821		36,623	
"cast5"	21,024	26,482	29,277	28,300	33,835	28,386		41,704		29,858	
"cast6"		16,559	12,697	15,276						14,844	
"gost"		20,669	16,789	11,352						16,270	
"khazad"								16,772		16,772	
"loki97"		11,395								11,395	
"noekeon"								32,690		32,690	
"rijndael"	14,028	12,769	21,926	20,714	44,485	34,379	23,293	42,247	35,626	27,719	
"saferplus"		5,213						3,036		4,124	
"serpent"	5,119	9,806	7,110	11,624		6,291			28,183	11,646	
"skipjack"								8,985		8,985	
"twofish"	16,997	31,124	22,810	28,770		23,370		34,083		26,192	
"xtea"		21,858	23,272	11,062				26,936		20,782	
"average"	11,261	18,176	19,759	18,051	33,844	20,928	36,354	26,544	31,904		
"min"	3,804	3,461	6,296	4,336	11,878	2,434	23,293	3,036	28,183		
"max"	21,024	40,597	37,651	31,028	45,176	34,379	49,416	51,821	35,626		
											
"p4-3200-ubuntu-hardy"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"	
"3des"	7,211	3,468	6,007	3,304	11,707	2,438		7,439		5,939	
"anubis"								33,365		33,365	
"blowfish"	7,018	40,554	39,000	41,518	45,198	30,706	49,538	52,340		38,234	
"cast5"	19,975	26,501	26,804	33,930	33,165	28,389		42,411		30,168	
"cast6"		16,658	12,546	25,979						18,394	
"gost"		20,691	18,609	24,763						21,354	
"khazad"								9,451		9,451	
"loki97"		11,230								11,230	
"noekeon"								36,249		36,249	
"rijndael"	14,125	12,767	24,725	25,393	44,901	23,687	23,285	42,193	37,219	27,588	
"saferplus"		5,213						3,570		4,392	
"serpent"	6,490	9,747	11,685	17,847		6,296			26,935	13,391	
"skipjack"								10,474		10,474	
"twofish"	18,333	31,194	21,811	28,927		23,448		48,910		28,771	
"xtea"		21,907	22,523	17,847				26,845		22,280	
"average"	12,192	18,175	20,412	24,390	33,743	19,161	36,411	28,477	32,077		
"min"	6,490	3,468	6,007	3,304	11,707	2,438	23,285	3,570	26,935		
"max"	19,975	40,554	39,000	41,518	45,198	30,706	49,538	52,340	37,219		
											
"p4-3200-fedora8"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"	
"3des"	2,246	3,337	7,311	7,241	11,974	3,868		3,792		5,681	
"anubis"								17,209		17,209	
"blowfish"	6,406	41,066	33,262	34,668	45,253	43,517	45,177	47,499		37,106	
"cast5"	20,412	35,220	35,071	30,393	28,801	40,331		26,615		30,978	
"cast6"		14,774	12,541	21,596						16,304	
"gost"		15,387	20,854	20,532						18,924	
"khazad"								12,805		12,805	
"loki97"		8,854								8,854	
"noekeon"								31,769		31,769	
"rijndael"	14,363	10,217	26,188	19,392	42,874	34,541	20,742	24,742	33,573	25,181	
"saferplus"		4,413						3,051		3,732	
"serpent"	6,465	5,465	30,300	7,968		7,541			24,503	13,183	
"skipjack"								4,823		4,823	
"twofish"	16,946	32,131	24,744	17,507		20,931		34,808		24,511	
"xtea"		16,894	23,521	13,948				26,409		20,193	
"average"	11,140	17,069	23,755	19,249	32,225	25,121	32,960	21,229	29,038		
"min"	2,246	3,337	7,311	7,241	11,974	3,868	20,742	3,051	24,503		
"max"	20,412	41,066	35,071	34,668	45,253	43,517	45,177	47,499	33,573		
